#Measurements from IMU
#Number of channels: 9
#Number of samples: 2283
#Frequency: 200.000 Hz
#Unit system: SI

#Time	Roll	Pitch	Yaw	Angular velocity X	Angular velocity Y	Angular velocity Z	Linear acceleration X	Linear acceleration Y	Linear acceleration Z
0.340	0.000	0.019	-0.000	-0.078	0.195	0.035	0.336	-0.012	-0.500
0.345	0.000	0.019	-0.000	0.017	0.093	-0.033	0.300	0.009	-0.500
0.350	0.000	0.020	-0.000	-0.036	0.118	-0.220	0.308	0.010	-0.500
0.355	0.000	0.020	-0.000	-0.054	0.098	0.078	0.319	-0.002	-0.500
0.360	0.000	0.021	-0.000	-0.034	0.145	-0.034	0.340	0.018	-0.500
0.365	0.000	0.021	-0.000	-0.077	-0.015	-0.139	0.323	-0.001	-0.500
0.370	0.000	0.022	-0.000	-0.072	0.033	-0.068	0.336	-0.005	-0.500
0.375	0.000	0.022	-0.000	0.104	0.108	-0.011	0.345	-0.013	-0.500
0.380	0.000	0.023	-0.000	0.045	0.181	-0.108	0.346	-0.003	-0.500
0.385	0.000	0.023	-0.000	0.032	0.108	0.037	0.370	0.021	-0.500
0.390	0.000	0.024	-0.000	0.034	0.078	-0.049	0.351	0.007	-0.500
0.395	0.000	0.024	-0.000	0.011	0.102	0.032	0.378	-0.001	-0.500
0.400	0.000	0.025	-0.000	-0.113	0.095	0.059	0.400	-0.001	-0.500
0.405	0.000	0.025	-0.000	-0.035	0.105	-0.171	0.397	0.018	-0.500
0.410	0.000	0.026	-0.000	-0.000	0.127	-0.234	0.385	0.011	-0.500
0.415	0.000	0.026	-0.000	0.008	0.110	0.027	0.389	-0.002	-0.500
0.420	0.000	0.027	-0.000	-0.031	0.019	0.166	0.407	0.005	-0.500
0.425	0.000	0.028	-0.000	-0.044	0.106	0.207	0.417	0.000	-0.500
0.430	0.000	0.028	-0.000	0.019	0.075	0.003	0.427	-0.020	-0.500
0.435	0.000	0.029	-0.000	0.032	0.153	0.108	0.435	-0.026	-0.500
0.440	0.000	0.029	-0.000	-0.040	0.118	-0.099	0.434	-0.005	-0.500
0.445	0.000	0.030	-0.000	0.003	0.153	0.091	0.446	0.008	-0.500
0.450	0.000	0.030	-0.000	0.006	0.201	0.021	0.459	-0.010	-0.500
0.455	0.000	0.031	-0.000	-0.024	0.118	0.017	0.464	0.008	-0.500
0.460	0.000	0.032	-0.000	0.021	0.074	-0.082	0.463	-0.003	-0.500
0.465	0.000	0.032	-0.000	0.060	0.055	0.088	0.455	0.001	-0.500
